season_week,season,week,n,actual_elim,rank_bottom2,rank_elim_original,rank_elim_judge_lowest,rank_elim_judge_fan_safe,rank_elim_judge_fan_drama,pct_bottom2,pct_elim_original,pct_elim_judge_lowest,pct_elim_judge_fan_safe,pct_elim_judge_fan_drama,rank_judge_lowest_correct,pct_judge_lowest_correct
13_2,13,2,11,Elisabetta Canalis_Valentin Chmerkovskiy_13,"['Elisabetta Canalis_Valentin Chmerkovskiy_13', 'Kristin Cavallari_Mark Ballas_13']",Elisabetta Canalis_Valentin Chmerkovskiy_13,Elisabetta Canalis_Valentin Chmerkovskiy_13,Kristin Cavallari_Mark Ballas_13,Elisabetta Canalis_Valentin Chmerkovskiy_13,"['Elisabetta Canalis_Valentin Chmerkovskiy_13', 'Chynna Phillips_Tony Dovolani_13']",Elisabetta Canalis_Valentin Chmerkovskiy_13,Elisabetta Canalis_Valentin Chmerkovskiy_13,Elisabetta Canalis_Valentin Chmerkovskiy_13,Chynna Phillips_Tony Dovolani_13,1,1
13_3,13,3,10,Kristin Cavallari_Mark Ballas_13,"['Chaz Bono_Lacey Schwimmer_13', 'Kristin Cavallari_Mark Ballas_13']",Chaz Bono_Lacey Schwimmer_13,Chaz Bono_Lacey Schwimmer_13,Kristin Cavallari_Mark Ballas_13,Chaz Bono_Lacey Schwimmer_13,"['Chaz Bono_Lacey Schwimmer_13', 'Kristin Cavallari_Mark Ballas_13']",Chaz Bono_Lacey Schwimmer_13,Chaz Bono_Lacey Schwimmer_13,Kristin Cavallari_Mark Ballas_13,Chaz Bono_Lacey Schwimmer_13,0,0
13_4,13,4,9,Chynna Phillips_Tony Dovolani_13,"['Carson Kressley_Anna Trebunskaya_13', 'Chaz Bono_Lacey Schwimmer_13']",Carson Kressley_Anna Trebunskaya_13,Carson Kressley_Anna Trebunskaya_13,Chaz Bono_Lacey Schwimmer_13,Carson Kressley_Anna Trebunskaya_13,"['Chaz Bono_Lacey Schwimmer_13', 'Chynna Phillips_Tony Dovolani_13']",Chaz Bono_Lacey Schwimmer_13,Chaz Bono_Lacey Schwimmer_13,Chaz Bono_Lacey Schwimmer_13,Chynna Phillips_Tony Dovolani_13,0,0
13_5,13,5,8,Carson Kressley_Anna Trebunskaya_13,"['Carson Kressley_Anna Trebunskaya_13', 'Chaz Bono_Lacey Schwimmer_13']",Carson Kressley_Anna Trebunskaya_13,Carson Kressley_Anna Trebunskaya_13,Carson Kressley_Anna Trebunskaya_13,Chaz Bono_Lacey Schwimmer_13,"['Carson Kressley_Anna Trebunskaya_13', 'Chaz Bono_Lacey Schwimmer_13']",Carson Kressley_Anna Trebunskaya_13,Carson Kressley_Anna Trebunskaya_13,Carson Kressley_Anna Trebunskaya_13,Chaz Bono_Lacey Schwimmer_13,1,1
13_6,13,6,7,Chaz Bono_Lacey Schwimmer_13,"['Chaz Bono_Lacey Schwimmer_13', 'David Arquette_Kym Johnson_13']",Chaz Bono_Lacey Schwimmer_13,Chaz Bono_Lacey Schwimmer_13,Chaz Bono_Lacey Schwimmer_13,David Arquette_Kym Johnson_13,"['Chaz Bono_Lacey Schwimmer_13', 'David Arquette_Kym Johnson_13']",Chaz Bono_Lacey Schwimmer_13,Chaz Bono_Lacey Schwimmer_13,Chaz Bono_Lacey Schwimmer_13,David Arquette_Kym Johnson_13,1,1
13_7,13,7,6,David Arquette_Kym Johnson_13,"['David Arquette_Kym Johnson_13', 'Nancy Grace_Tristan MacManus_13']",David Arquette_Kym Johnson_13,Nancy Grace_Tristan MacManus_13,David Arquette_Kym Johnson_13,Nancy Grace_Tristan MacManus_13,"['David Arquette_Kym Johnson_13', 'Nancy Grace_Tristan MacManus_13']",David Arquette_Kym Johnson_13,Nancy Grace_Tristan MacManus_13,David Arquette_Kym Johnson_13,Nancy Grace_Tristan MacManus_13,0,0
13_8,13,8,5,Nancy Grace_Tristan MacManus_13,"['Nancy Grace_Tristan MacManus_13', 'Rob Kardashian_Cheryl Burke_13']",Nancy Grace_Tristan MacManus_13,Nancy Grace_Tristan MacManus_13,Nancy Grace_Tristan MacManus_13,Rob Kardashian_Cheryl Burke_13,"['Nancy Grace_Tristan MacManus_13', 'J.R. Martinez_Karina Smirnoff_13']",Nancy Grace_Tristan MacManus_13,Nancy Grace_Tristan MacManus_13,Nancy Grace_Tristan MacManus_13,J.R. Martinez_Karina Smirnoff_13,1,1
13_9,13,9,4,Hope Solo_Maksim Chmerkoskiy_13,"['Hope Solo_Maksim Chmerkoskiy_13', 'Rob Kardashian_Cheryl Burke_13']",Hope Solo_Maksim Chmerkoskiy_13,Hope Solo_Maksim Chmerkoskiy_13,Hope Solo_Maksim Chmerkoskiy_13,Rob Kardashian_Cheryl Burke_13,"['Hope Solo_Maksim Chmerkoskiy_13', 'Rob Kardashian_Cheryl Burke_13']",Hope Solo_Maksim Chmerkoskiy_13,Hope Solo_Maksim Chmerkoskiy_13,Hope Solo_Maksim Chmerkoskiy_13,Rob Kardashian_Cheryl Burke_13,1,1
14_2,14,2,12,Martina Navratilova_Tony Dovolani_14,"['Martina Navratilova_Tony Dovolani_14', 'Jack Wagner_Anna Trebunskaya_14']",Martina Navratilova_Tony Dovolani_14,Martina Navratilova_Tony Dovolani_14,Martina Navratilova_Tony Dovolani_14,Jack Wagner_Anna Trebunskaya_14,"['Martina Navratilova_Tony Dovolani_14', 'Jack Wagner_Anna Trebunskaya_14']",Martina Navratilova_Tony Dovolani_14,Martina Navratilova_Tony Dovolani_14,Martina Navratilova_Tony Dovolani_14,Jack Wagner_Anna Trebunskaya_14,1,1
14_3,14,3,11,Jack Wagner_Anna Trebunskaya_14,"['Jack Wagner_Anna Trebunskaya_14', 'Gladys Knight_Tristan MacManus_14']",Jack Wagner_Anna Trebunskaya_14,Jack Wagner_Anna Trebunskaya_14,Jack Wagner_Anna Trebunskaya_14,Gladys Knight_Tristan MacManus_14,"['Jack Wagner_Anna Trebunskaya_14', 'Gladys Knight_Tristan MacManus_14']",Jack Wagner_Anna Trebunskaya_14,Jack Wagner_Anna Trebunskaya_14,Jack Wagner_Anna Trebunskaya_14,Gladys Knight_Tristan MacManus_14,1,1
14_4,14,4,10,Sherri Sheperd_Valentin Chmerkovskiy_14,"['Gladys Knight_Tristan MacManus_14', 'Sherri Sheperd_Valentin Chmerkovskiy_14']",Gladys Knight_Tristan MacManus_14,Gladys Knight_Tristan MacManus_14,Gladys Knight_Tristan MacManus_14,Sherri Sheperd_Valentin Chmerkovskiy_14,"['Gladys Knight_Tristan MacManus_14', 'Sherri Sheperd_Valentin Chmerkovskiy_14']",Gladys Knight_Tristan MacManus_14,Gladys Knight_Tristan MacManus_14,Gladys Knight_Tristan MacManus_14,Sherri Sheperd_Valentin Chmerkovskiy_14,0,0
14_5,14,5,9,Gavin DeGraw_Karina Smirnoff_14,"['Gavin DeGraw_Karina Smirnoff_14', 'Gladys Knight_Tristan MacManus_14']",Gavin DeGraw_Karina Smirnoff_14,Gavin DeGraw_Karina Smirnoff_14,Gladys Knight_Tristan MacManus_14,Gavin DeGraw_Karina Smirnoff_14,"['Gavin DeGraw_Karina Smirnoff_14', 'Gladys Knight_Tristan MacManus_14']",Gavin DeGraw_Karina Smirnoff_14,Gavin DeGraw_Karina Smirnoff_14,Gladys Knight_Tristan MacManus_14,Gavin DeGraw_Karina Smirnoff_14,1,1
14_6,14,6,8,Gladys Knight_Tristan MacManus_14,"['Gladys Knight_Tristan MacManus_14', 'Melissa Gilbert_Maksim Chmerkoskiy_14']",Gladys Knight_Tristan MacManus_14,Gladys Knight_Tristan MacManus_14,Gladys Knight_Tristan MacManus_14,Melissa Gilbert_Maksim Chmerkoskiy_14,"['Gladys Knight_Tristan MacManus_14', 'Jaleel White_Kym Johnson_14']",Gladys Knight_Tristan MacManus_14,Gladys Knight_Tristan MacManus_14,Gladys Knight_Tristan MacManus_14,Jaleel White_Kym Johnson_14,1,1
14_7,14,7,7,Jaleel White_Kym Johnson_14,"['Jaleel White_Kym Johnson_14', 'Melissa Gilbert_Maksim Chmerkoskiy_14']",Jaleel White_Kym Johnson_14,Melissa Gilbert_Maksim Chmerkoskiy_14,Jaleel White_Kym Johnson_14,Melissa Gilbert_Maksim Chmerkoskiy_14,"['Jaleel White_Kym Johnson_14', 'Roshon Fegan_Chelsie Hightower_14']",Jaleel White_Kym Johnson_14,Jaleel White_Kym Johnson_14,Jaleel White_Kym Johnson_14,Roshon Fegan_Chelsie Hightower_14,0,1
14_9,14,9,4,Maria Menounos_Derek Hough_14,"['Katherine Jenkins_Mark Ballas_14', 'Maria Menounos_Derek Hough_14']",Katherine Jenkins_Mark Ballas_14,Katherine Jenkins_Mark Ballas_14,Maria Menounos_Derek Hough_14,Katherine Jenkins_Mark Ballas_14,"['Maria Menounos_Derek Hough_14', 'Katherine Jenkins_Mark Ballas_14']",Maria Menounos_Derek Hough_14,Katherine Jenkins_Mark Ballas_14,Maria Menounos_Derek Hough_14,Katherine Jenkins_Mark Ballas_14,0,0
15_1,15,1,13,Pamela Anderson_Tristan MacManus_15,"['Pamela Anderson_Tristan MacManus_15', 'Joey Fatone_Kym Johnson_15']",Pamela Anderson_Tristan MacManus_15,Pamela Anderson_Tristan MacManus_15,Pamela Anderson_Tristan MacManus_15,Joey Fatone_Kym Johnson_15,"['Pamela Anderson_Tristan MacManus_15', 'Joey Fatone_Kym Johnson_15']",Pamela Anderson_Tristan MacManus_15,Pamela Anderson_Tristan MacManus_15,Pamela Anderson_Tristan MacManus_15,Joey Fatone_Kym Johnson_15,1,1
15_2,15,2,12,Joey Fatone_Kym Johnson_15,"['Bristol Palin_Mark Ballas_15', 'Kirstie Alley_Maksim Chmerkoskiy_15']",Bristol Palin_Mark Ballas_15,Bristol Palin_Mark Ballas_15,Bristol Palin_Mark Ballas_15,Kirstie Alley_Maksim Chmerkoskiy_15,"['Bristol Palin_Mark Ballas_15', 'Kirstie Alley_Maksim Chmerkoskiy_15']",Bristol Palin_Mark Ballas_15,Bristol Palin_Mark Ballas_15,Bristol Palin_Mark Ballas_15,Kirstie Alley_Maksim Chmerkoskiy_15,0,0
15_4,15,4,9,Bristol Palin_Mark Ballas_15,"['Kirstie Alley_Maksim Chmerkoskiy_15', 'Bristol Palin_Mark Ballas_15']",Kirstie Alley_Maksim Chmerkoskiy_15,Kirstie Alley_Maksim Chmerkoskiy_15,Kirstie Alley_Maksim Chmerkoskiy_15,Kirstie Alley_Maksim Chmerkoskiy_15,"['Kirstie Alley_Maksim Chmerkoskiy_15', 'Bristol Palin_Mark Ballas_15']",Kirstie Alley_Maksim Chmerkoskiy_15,Kirstie Alley_Maksim Chmerkoskiy_15,Kirstie Alley_Maksim Chmerkoskiy_15,Kirstie Alley_Maksim Chmerkoskiy_15,0,0
15_6,15,6,8,Sabrina Bryan_Louis van Amstel_15,"['Kelly Monaco_Valentin Chmerkovskiy_15', 'Kirstie Alley_Maksim Chmerkoskiy_15']",Kelly Monaco_Valentin Chmerkovskiy_15,Kelly Monaco_Valentin Chmerkovskiy_15,Kelly Monaco_Valentin Chmerkovskiy_15,Kelly Monaco_Valentin Chmerkovskiy_15,"['Kelly Monaco_Valentin Chmerkovskiy_15', 'Kirstie Alley_Maksim Chmerkoskiy_15']",Kelly Monaco_Valentin Chmerkovskiy_15,Kelly Monaco_Valentin Chmerkovskiy_15,Kelly Monaco_Valentin Chmerkovskiy_15,Kelly Monaco_Valentin Chmerkovskiy_15,0,0
16_10,16,10,4,Alexandra Raisman_Mark Ballas_16,"['Alexandra Raisman_Mark Ballas_16', 'Jacoby Jones_Karina Smirnoff_16']",Alexandra Raisman_Mark Ballas_16,Jacoby Jones_Karina Smirnoff_16,Alexandra Raisman_Mark Ballas_16,Jacoby Jones_Karina Smirnoff_16,"['Alexandra Raisman_Mark Ballas_16', 'Zendaya_Valentin Chmerkovskiy_16']",Alexandra Raisman_Mark Ballas_16,Alexandra Raisman_Mark Ballas_16,Alexandra Raisman_Mark Ballas_16,Zendaya_Valentin Chmerkovskiy_16,0,1
16_3,16,3,11,Wynonna Judd_Tony Dovolani_16,"['D. L. Hughley_Cheryl Burke_16', 'Wynonna Judd_Tony Dovolani_16']",D. L. Hughley_Cheryl Burke_16,Wynonna Judd_Tony Dovolani_16,D. L. Hughley_Cheryl Burke_16,Wynonna Judd_Tony Dovolani_16,"['Wynonna Judd_Tony Dovolani_16', 'D. L. Hughley_Cheryl Burke_16']",Wynonna Judd_Tony Dovolani_16,Wynonna Judd_Tony Dovolani_16,D. L. Hughley_Cheryl Burke_16,Wynonna Judd_Tony Dovolani_16,1,1
